GoogleMapLink,Name,Rating,Price,Type,Address,Thumbnail
https://www.google.com/maps/place/%E6%9F%92%E6%A8%93%E9%A4%90%E5%BB%9A%E7%A9%BA%E9%96%93%EF%BC%88%E9%A0%90%E7%B4%84%E7%94%A8%E9%A4%90%EF%BC%89/data=!4m7!3m6!1s0x346e7bc5b31afc79:0xce831a512a2aea83!8m2!3d23.0799093!4d120.2929949!16s%2Fg%2F11svrr30h3!19sChIJefwas8V7bjQRg-oqKlEag84?authuser=0&hl=zh-TW&rclk=1,柒樓餐廚空間（預約用餐）,5,$200-400,早午餐,中正路301巷17號7樓,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzBAUzb3MXc41ggDyX1MKCE8hyZaCNfcxEh6F4o7wxLPD_sOodN1H3Je6RfGhLxTZ1YERDQTKCU8O6Mr4NIq9NmnipgxEL5H1k9PeAss7PwGdXRnKbLleoEfPqgcbhxe6PSPI9eeQ=w138-h92-k-no
https://www.google.com/maps/place/%E5%B0%8F%E6%9D%B1%E9%96%80%E5%92%96%E5%93%A9-%E5%8F%B0%E5%8D%97%E6%96%B0%E5%B8%82%E5%BA%97/data=!4m7!3m6!1s0x346e7bd26229804d:0xb8eec403105b5017!8m2!3d23.0739348!4d120.2930604!16s%2Fg%2F11rttdk0c9!19sChIJTYApYtJ7bjQRF1BbEAPE7rg?authuser=0&hl=zh-TW&rclk=1,小東門咖哩-台南新市店,4.7,$1-200,日式咖哩,仁愛街147號,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz4JbEpfROR11mbczul3wT0em-utaGCnUaDdFeCXyDjMBE1rEIdb3kNDgOQUkUSPunPS0e0nLP1vYd7ouyH5Fri--MOH7XAUMO5zxLuc56FSzCeEz5BO9aYodfnqYEGLjhNUHZN=w122-h92-k-no
https://www.google.com/maps/place/%E8%97%9D%E9%8D%8B%E7%89%A9-%E6%96%B0%E5%B8%82%E5%BA%97/data=!4m7!3m6!1s0x346e7a5c209ae42d:0xb0259817c6699878!8m2!3d23.0727101!4d120.2914443!16s%2Fg%2F1pzqyhrs0!19sChIJLeSaIFx6bjQReJhpxheYJbA?authuser=0&hl=zh-TW&rclk=1,藝鍋物-新市店,4.3,$1-200,餐廳,富強路6號,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzp3Zp5M3j4ZnkeJN4wEXswodHjE86A_QawQM5kmZt7N4AjZ8gcOxZCyq9g7MIZIujom1LPDBeqeZY-cGsw2w0rLwwgmr3GDfrBFxkBHL5mtLZLej6cO5IKWlBy3MPVadHM-_ah=w122-h92-k-no
https://www.google.com/maps/place/%E5%B8%95%E7%89%B9%E9%87%8C%E5%A4%8F%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%BA%B5%E9%A4%90%E5%BB%B3/data=!4m7!3m6!1s0x346e7b83b182cce1:0xf17f89d1df4e43c2!8m2!3d23.0778848!4d120.2886549!16s%2Fg%2F1pzs4d1rp!19sChIJ4cyCsYN7bjQRwkNO39GJf_E?authuser=0&hl=zh-TW&rclk=1,帕特里夏義大利麵餐廳,4.2,$200-400,意大利菜,光明街122號,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw-avnGRvFOG8hE0TuyaCAEKzrErO1rLjdgs5k5JWirRUepmxOeeAG-GTTbaKBK4DrQLhMi8gTE0JeHjgBR5CINrF5TGkUgfYBxPJL3tc1fMHgsjXoM4xh4v2ZQ1TVgZc64-s-IeQ=w122-h92-k-no
https://www.google.com/maps/place/%E6%96%B0%E5%B8%82%E4%BA%94%E5%85%A9%E5%8D%8A%E8%96%91%E6%AF%8D%E9%B4%A8/data=!4m7!3m6!1s0x346e7afbe1974f97:0x65ea530f74da0f76!8m2!3d23.0813652!4d120.3032859!16s%2Fg%2F11f6kdp5fl!19sChIJl0-X4ft6bjQRdg_adA9T6mU?authuser=0&hl=zh-TW&rclk=1,新市五兩半薑母鴨,4.7,$200-400,火鍋,台南市新市區中山路22號,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxCPQnyLLQguzzHo0eA5khT_PImdqmdchaPJQCctje5gKBtWR1Qe7c9tdkFGlbEMRa82lHrPUONN3nNc35Ez4oWYAHfhK_QJ_REcC6mEIUq_F1_YzKRUgCmk07I9Lzs_4fwvRYq=w80-h106-k-no
https://www.google.com/maps/place/%E4%BD%90%E8%B3%80%E7%89%9B%E6%8E%92/data=!4m7!3m6!1s0x346e7a5e85d02923:0x85564436bc2d7740!8m2!3d23.0718001!4d120.2922259!16s%2Fg%2F11cs01kwpc!19sChIJIynQhV56bjQRQHctvDZEVoU?authuser=0&hl=zh-TW&rclk=1,佐賀牛排,4.1,$1-200,美式扒房,·,https://lh3.googleusercontent.com/p/AF1QipPCCVkkTmOA7S2pO0XJ0BeT2zI9YmuRTDw-QFo1=w163-h92-k-no
https://www.google.com/maps/place/%E6%BD%AE%E5%91%B3%E6%B1%BA%C2%B7%E6%B9%AF%E6%BB%B7%E5%B0%88%E9%96%80%E5%BA%97+%E5%8F%B0%E5%8D%97%E6%96%B0%E5%B8%82%E5%88%86%E7%A4%BE-%E6%96%B0%E5%B8%82%E4%BA%BA%E6%B0%A3%E6%BB%B7%E5%91%B3%7C%E7%86%B1%E9%96%80%E6%BB%B7%E5%91%B3%7C%E7%89%B9%E8%89%B2%E6%BB%B7%E5%91%B3%7C%E5%B7%B7%E5%BC%84%E7%BE%8E%E9%A3%9F%7C%E5%A4%96%E5%B8%B6%E7%BE%8E%E9%A3%9F%7C%E5%BF%85%E5%90%83%E6%BB%B7%E5%91%B3%7C%E5%9C%A8%E5%9C%B0%E6%8E%A8%E8%96%A6%E6%BB%B7%E5%91%B3%7C%E5%BF%85%E5%90%83%E9%BA%BB%E8%BE%A3%E6%BB%B7%E5%91%B3/data=!4m7!3m6!1s0x346e7b7437649fd9:0x2d4ec08fff032f9e!8m2!3d23.0770053!4d120.2918559!16s%2Fg%2F11r6pc9hyw!19sChIJ2Z9kN3R7bjQRni8D_4_ATi0?authuser=0&hl=zh-TW&rclk=1,潮味決·湯滷專門店 台南新市分社-新市人氣滷味|熱門滷味|特色滷味|巷弄美食|外帶美食|必吃滷味|在地推薦滷味|必吃麻辣滷味,4.5,$1-200,中國菜,·,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx4htKKbuLNLb-LgI6t10OMtnUsaJXkJSmdl0yC-mSbH8B6ZMM81_0KemEZZMArL33ktbr-n_u0w-4-baEoeB_nN9MO5-BrO21cdttrKdVcbLovQ4Is-A3YJpJ7A0Cj66K2IfQ=w122-h92-k-no
https://www.google.com/maps/place/%E4%BA%AC%E9%87%87%E5%89%B2%E7%83%B9%E6%97%A5%E6%9C%AC%E6%96%99%E7%90%86/data=!4m7!3m6!1s0x346e7b70189e2c8f:0xc8ff50a16acca06f!8m2!3d23.074059!4d120.2893861!16s%2Fg%2F11rj4mnpv5!19sChIJjyyeGHB7bjQRb6DMaqFQ_8g?authuser=0&hl=zh-TW&rclk=1,京采割烹日本料理,4.7,"超過 $2,000",日本菜,銘傳街99號,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSywVSlKgcXpU_6oIQNC7FDLsgeEhcZosq3g-01nCylJBZszS80CqvGuiXiK51eLDWEu1WegsDgNV8IDvJKQ5e4VJn9D_2Pdwbvan2guVLkttZ03_KA5bNT7Z_X8I0S5NkOBjMlueA=w122-h92-k-no
https://www.google.com/maps/place/NU+PASTA%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%BA%B5+%E5%8F%B0%E5%8D%97%E6%96%B0%E5%B8%82%E5%BA%97/data=!4m7!3m6!1s0x346e7a5c0becc6b5:0x2745c7eed83dac83!8m2!3d23.074069!4d120.290396!16s%2Fg%2F11b6ryvjmm!19sChIJtcbsC1x6bjQRg6w92O7HRSc?authuser=0&hl=zh-TW&rclk=1,NU PASTA義大利麵 台南新市店,4.8,$200-400,意大利菜,銘傳街69號,https://lh3.googleusercontent.com/p/AF1QipOh18VPDP7Obn2vPgXrpB0rdnJ06X1Ze3BhgY0T=w140-h92-k-no
https://www.google.com/maps/place/%E9%89%84%E5%A4%A7%E6%AD%A3%E5%92%96%E5%93%A9%E5%B0%88%E9%96%80+%E6%96%B0%E5%B8%82%E5%BA%97/data=!4m7!3m6!1s0x346e7bafb1804539:0xac8b8065b9d43489!8m2!3d23.0782699!4d120.2898089!16s%2Fg%2F11n0p7cqch!19sChIJOUWAsa97bjQRiTTUuWWAi6w?authuser=0&hl=zh-TW&rclk=1,鉄大正咖哩專門 新市店,4.1,$200-400,日式咖哩,·,https://lh3.googleusercontent.com/p/AF1QipOtRMsWgcaToTP4l-KVzU3g3h_Jl_4qfvyjLrwf=w138-h92-k-no
